board_size,max_exponent,layer_sum,max_value,num_states
2,3,6,2,2
2,3,12,2,2
2,3,4,1,2
2,3,10,2,3
2,3,14,2,1
2,3,8,2,4
2,3,6,1,1
2,4,10,3,2
2,4,6,2,2
2,4,12,2,2
2,4,22,3,1
2,4,18,3,2
2,4,20,3,3
2,4,4,1,2
2,4,10,2,3
2,4,24,3,1
2,4,14,2,1
2,4,8,2,4
2,4,14,3,4
2,4,6,1,1
2,4,16,3,3
2,4,12,3,4
2,5,10,3,2
2,5,24,4,3
2,5,38,4,1
2,5,28,4,4
2,5,6,2,2
2,5,22,4,4
2,5,12,2,2
2,5,22,3,1
2,5,18,3,2
2,5,20,3,3
2,5,32,4,1
2,5,34,4,1
2,5,4,1,2
2,5,40,4,1
2,5,10,2,3
2,5,24,3,1
2,5,26,4,3
2,5,14,2,1
2,5,36,4,2
2,5,8,2,4
2,5,14,3,4
2,5,6,1,1
2,5,16,3,3
2,5,12,3,4
2,5,20,4,2
2,6,10,3,2
2,6,24,4,3
2,6,38,4,1
2,6,50,5,1
2,6,28,4,4
2,6,6,2,2
2,6,22,4,4
2,6,38,5,2
2,6,12,2,2
2,6,22,3,1
2,6,18,3,2
2,6,20,3,3
2,6,32,4,1
2,6,40,5,3
2,6,34,4,1
2,6,52,5,2
2,6,4,1,2
2,6,40,4,1
2,6,10,2,3
2,6,42,5,3
2,6,24,3,1
2,6,44,5,4
2,6,26,4,3
2,6,56,5,1
2,6,14,2,1
2,6,48,5,1
2,6,36,4,2
2,6,8,2,4
2,6,14,3,4
2,6,6,1,1
2,6,16,3,3
2,6,12,3,4
2,6,20,4,2
2,7,10,3,2
2,7,24,4,3
2,7,38,4,1
2,7,50,5,1
2,7,28,4,4
2,7,6,2,2
2,7,22,4,4
2,7,38,5,2
2,7,12,2,2
2,7,22,3,1
2,7,18,3,2
2,7,20,3,3
2,7,32,4,1
2,7,40,5,3
2,7,34,4,1
2,7,52,5,2
2,7,4,1,2
2,7,40,4,1
2,7,10,2,3
2,7,42,5,3
2,7,24,3,1
2,7,44,5,4
2,7,26,4,3
2,7,56,5,1
2,7,14,2,1
2,7,48,5,1
2,7,36,4,2
2,7,8,2,4
2,7,14,3,4
2,7,6,1,1
2,7,16,3,3
2,7,12,3,4
2,7,20,4,2
3,10,414,8,52096
3,10,494,7,690
3,10,378,7,16130
3,10,1416,9,917
3,10,540,8,41721
3,10,82,4,931
3,10,640,8,11045
3,10,466,8,44973
3,10,1098,9,21935
3,10,1042,9,21789
3,10,32,2,2
3,10,460,8,44637
3,10,1020,9,11514
3,10,714,9,37543
3,10,326,7,21769
3,10,1286,9,614
3,10,324,7,21846
3,10,116,5,8843
3,10,668,9,48035
3,10,152,5,843
3,10,402,8,35552
3,10,1038,9,13603
3,10,536,8,40033
3,10,1070,9,40942
3,10,1230,9,13008
3,10,710,9,38854
3,10,1090,9,22222
3,10,1148,9,17630
3,10,532,7,102
3,10,654,8,15328
3,10,898,8,19
3,10,350,8,39787
3,10,98,4,2
3,10,402,7,9992
3,10,332,8,25692
3,10,914,9,39736
3,10,420,8,43338
3,10,280,7,38646
3,10,186,6,22418
3,10,552,8,35526
3,10,916,9,42952
3,10,1444,9,5353
3,10,878,9,57624
3,10,90,6,5130
3,10,788,9,37488
3,10,1374,9,11998
3,10,1052,9,35934
3,10,534,9,3003
3,10,702,8,14714
3,10,1064,9,32986
3,10,1356,9,9516
3,10,222,7,39761
3,10,308,8,19526
3,10,338,7,24407
3,10,876,9,52911
3,10,246,7,41350
3,10,554,7,6
3,10,1100,9,26457
3,10,1074,9,34994
3,10,1182,9,29585
3,10,1440,9,6775
3,10,370,7,18688
3,10,826,9,55305
3,10,140,7,346
3,10,1522,9,68
3,10,1116,9,33323
3,10,290,8,9384
3,10,488,8,40289
3,10,10,3,10
3,10,128,5,6538
3,10,890,8,120
3,10,344,8,34252
3,10,632,8,20632
3,10,904,9,20186
3,10,994,9,13234
3,10,336,8,31103
3,10,376,8,42371
3,10,812,8,5907
3,10,410,8,45525
3,10,84,4,672
3,10,164,6,24950
3,10,570,8,36048
3,10,34,3,1474
3,10,614,8,23023
3,10,894,9,39905
3,10,180,6,22508
3,10,1186,9,20425
3,10,1114,9,32765
3,10,280,8,4026
3,10,24,4,164
3,10,562,9,18618
3,10,1472,9,857
3,10,1316,9,11628
3,10,154,5,619
3,10,716,9,44715
3,10,930,8,143
3,10,168,6,25212
3,10,542,7,38
3,10,1498,9,719
3,10,440,7,5694
3,10,342,7,25683
3,10,1210,9,17224
3,10,1110,9,31546
3,10,828,9,55821
3,10,268,8,194
3,10,304,7,39589
3,10,656,9,38418
3,10,90,4,206
3,10,798,9,51303
3,10,1346,9,5023
3,10,274,6,834
3,10,446,7,3621
3,10,174,5,12
3,10,1460,9,4439
3,10,38,4,3244
3,10,852,8,1318
3,10,84,5,15380
3,10,728,8,12914
3,10,604,8,36101
3,10,30,3,1482
3,10,318,7,35976
3,10,188,7,23508
3,10,708,8,7001
3,10,558,7,2
3,10,846,8,1339
3,10,686,8,22151
3,10,946,8,50
3,10,440,8,55600
3,10,810,8,5429
3,10,156,7,6089
3,10,1366,9,11975
3,10,918,9,47606
3,10,732,9,52881
3,10,94,5,15407
3,10,54,5,3383
3,10,710,8,5682
3,10,372,8,39756
3,10,244,7,39730
3,10,954,9,38096
3,10,306,6,21
3,10,386,7,6540
3,10,1172,9,19712
3,10,1488,9,1051
3,10,32,3,1532
3,10,802,8,6028
3,10,764,8,3305
3,10,706,8,5733
3,10,310,7,35550
3,10,344,7,27200
3,10,932,9,35547
3,10,1008,9,17869
3,10,712,8,6671
3,10,888,9,44671
3,10,1190,9,19590
3,10,908,9,32760
3,10,162,5,178
3,10,46,4,5595
3,10,1480,9,754
3,10,868,8,596
3,10,290,7,32848
3,10,522,8,22877
3,10,170,6,23959
3,10,490,7,673
3,10,604,9,36906
3,10,744,9,40516
3,10,808,8,5469
3,10,354,7,20371
3,10,412,7,10882
3,10,1206,9,20309
3,10,1118,9,34354
3,10,552,9,12528
3,10,322,8,26813
3,10,590,8,33687
3,10,1338,9,12688
3,10,28,2,21
3,10,884,8,318
3,10,984,8,1
3,10,300,7,36666
3,10,882,8,253
3,10,312,6,2
3,10,1452,9,6659
3,10,616,8,24450
3,10,1102,9,30469
3,10,284,6,417
3,10,486,8,39777
3,10,964,9,19684
3,10,96,5,15768
3,10,478,7,2402
3,10,800,9,49222
3,10,762,8,2750
3,10,1048,9,32581
3,10,738,8,4892
3,10,922,8,239
3,10,154,6,27409
3,10,722,8,11440
3,10,422,7,6411
3,10,264,7,31526
3,10,48,4,6054
3,10,824,9,58097
3,10,636,9,41695
3,10,944,8,72
3,10,756,9,36057
3,10,786,9,34062
3,10,1476,9,606
3,10,374,7,18113
3,10,334,7,27717
3,10,1174,9,23008
3,10,414,7,10544
3,10,758,8,4537
3,10,942,8,70
3,10,530,7,107
3,10,356,8,36637
3,10,1382,9,5127
3,10,472,8,52695
3,10,150,7,3164
3,10,754,8,3631
3,10,1238,9,13583
