board_size,max_exponent,max_depth,discount,states,mean_start_state_value
2,3,0,0.95,15,0.8586338050868054
2,3,1,0.95,11,0.8586338050868054
2,3,2,0.95,8,0.8586338050868054
2,4,0,0.95,35,0.6569435249319412
2,4,1,0.95,30,0.6569435249319412
2,4,2,0.95,27,0.6569435249319412
2,4,3,0.95,25,0.6569435249319412
2,5,0,0.95,57,0.040307225413361666
2,5,1,0.95,54,0.040307225413361666
2,5,2,0.95,52,0.040307225413361666
2,5,3,0.95,51,0.040307225413361666
2,6,0,0.95,74,0.0
2,6,1,0.95,73,0.0
2,6,2,0.95,71,0.0
2,6,3,0.95,70,0.0
2,7,0,0.95,74,0.0
2,7,1,0.95,73,0.0
2,7,2,0.95,71,0.0
2,7,3,0.95,70,0.0
