i,state
0,[]
1,"[2, 2]"
2,"[2, 4]"
3,"[2, 2, 4]"
4,"[4, 4]"
5,"[2, 4, 4]"
6,"[2, 8]"
7,"[2, 2, 8]"
8,"[4, 4, 4]"
9,"[4, 8]"
10,"[2, 4, 8]"
11,"[2, 2, 4, 8]"
12,"[4, 4, 8]"
13,"[2, 4, 4, 8]"
14,"[2, 8, 8]"
15,"[2, 2, 8, 8]"
16,"[2, 2, 16]"
17,"[4, 4, 4, 8]"
18,"[4, 8, 8]"
19,"[2, 4, 8, 8]"
20,"[2, 4, 16]"
21,"[2, 2, 4, 16]"
22,"[4, 4, 8, 8]"
23,"[4, 4, 16]"
24,"[2, 4, 4, 16]"
25,"[2, 8, 16]"
26,"[2, 2, 8, 16]"
27,"[4, 4, 4, 16]"
28,"[4, 8, 16]"
29,"[2, 4, 8, 16]"
30,"[2, 2, 4, 8, 16]"
31,"[4, 4, 8, 16]"
32,"[2, 4, 4, 8, 16]"
33,"[2, 8, 8, 16]"
34,"[2, 2, 8, 8, 16]"
35,"[2, 2, 16, 16]"
36,"[4, 4, 4, 8, 16]"
37,"[4, 8, 8, 16]"
38,"[2, 4, 8, 8, 16]"
39,"[2, 4, 16, 16]"
40,"[2, 4, 32]"
41,"[2, 2, 4, 16, 16]"
42,"[2, 2, 4, 32]"
43,"[4, 4, 8, 8, 16]"
44,"[4, 4, 16, 16]"
45,"[4, 4, 32]"
46,"[2, 4, 4, 16, 16]"
47,"[2, 4, 4, 32]"
48,"[2, 8, 16, 16]"
49,"[2, 8, 32]"
50,"[2, 2, 8, 32]"
51,"[4, 4, 4, 32]"
52,"[4, 8, 16, 16]"
53,"[4, 8, 32]"
54,"[2, 4, 8, 32]"
55,"[2, 2, 4, 8, 32]"
56,"[4, 4, 8, 32]"
57,"[2, 4, 4, 8, 32]"
58,"[2, 8, 8, 32]"
59,"[2, 2, 8, 8, 32]"
60,"[2, 2, 16, 32]"
61,"[4, 4, 4, 8, 32]"
62,"[4, 8, 8, 32]"
63,"[2, 4, 8, 8, 32]"
64,"[2, 4, 16, 32]"
65,"[2, 2, 4, 16, 32]"
66,"[4, 4, 8, 8, 32]"
67,"[4, 4, 16, 32]"
68,"[2, 4, 4, 16, 32]"
69,"[2, 8, 16, 32]"
70,"[2, 2, 8, 16, 32]"
71,"[4, 4, 4, 16, 32]"
72,"[4, 8, 16, 32]"
73,"[2, 4, 8, 16, 32]"
74,"[2, 2, 4, 8, 16, 32]"
75,"[4, 4, 8, 16, 32]"
76,"[2, 4, 4, 8, 16, 32]"
77,"[2, 8, 8, 16, 32]"
78,"[2, 2, 8, 8, 16, 32]"
79,"[2, 2, 16, 16, 32]"
80,"[4, 4, 4, 8, 16, 32]"
81,"[4, 8, 8, 16, 32]"
82,"[2, 4, 8, 8, 16, 32]"
83,"[2, 4, 16, 16, 32]"
84,"[2, 4, 32, 32]"
85,"[2, 2, 4, 16, 16, 32]"
86,"[2, 2, 4, 32, 32]"
87,"[2, 2, 4, 64]"
88,"[4, 4, 8, 8, 16, 32]"
89,"[4, 4, 16, 16, 32]"
90,"[4, 4, 32, 32]"
91,"[2, 4, 4, 16, 16, 32]"
92,"[2, 4, 4, 32, 32]"
93,"[2, 4, 4, 64]"
94,"[2, 8, 16, 16, 32]"
95,"[2, 8, 32, 32]"
96,"[2, 8, 64]"
97,"[2, 2, 8, 32, 32]"
98,"[2, 2, 8, 64]"
99,"[4, 4, 4, 32, 32]"
100,"[4, 4, 4, 64]"
101,"[4, 8, 16, 16, 32]"
102,"[4, 8, 32, 32]"
103,"[4, 8, 64]"
104,"[2, 4, 8, 32, 32]"
105,"[2, 4, 8, 64]"
106,"[2, 2, 4, 8, 64]"
107,"[4, 4, 8, 32, 32]"
108,"[4, 4, 8, 64]"
109,"[2, 4, 4, 8, 64]"
110,"[2, 8, 8, 64]"
111,"[2, 2, 8, 8, 64]"
112,"[2, 2, 16, 64]"
113,"[4, 4, 4, 8, 64]"
114,"[4, 8, 8, 64]"
115,"[2, 4, 8, 8, 64]"
116,"[2, 4, 16, 64]"
117,"[2, 2, 4, 16, 64]"
118,"[4, 4, 8, 8, 64]"
119,"[4, 4, 16, 64]"
120,"[2, 4, 4, 16, 64]"
121,"[2, 8, 16, 64]"
122,"[2, 2, 8, 16, 64]"
123,"[4, 4, 4, 16, 64]"
124,"[4, 8, 16, 64]"
125,"[2, 4, 8, 16, 64]"
126,"[2, 2, 4, 8, 16, 64]"
