max_exponent,state,expected_steps,variance_steps
3,[],4.537100000000001,0.5066235899999967
3,"[2, 2]",3.71,0.40589999999999904
3,"[2, 4]",2.9,0.08999999999999808
3,"[2, 2, 4]",2.0,0.0
3,"[4, 4]",1.0,0.0
3,"[2, 4, 4]",1.0,0.0
3,"[4, 4, 4]",1.0,0.0
4,[],9.173553710000002,0.7764498197452099
4,"[2, 2]",8.355371,0.6412224523590027
4,"[2, 4]",7.446289999999999,0.5735152359000111
4,"[2, 2, 4]",6.5371,0.5066235900000038
4,"[4, 4]",6.5371,0.5066235900000038
4,"[2, 4, 4]",5.629,0.4333590000000136
4,"[2, 8]",5.629,0.4333590000000136
4,"[2, 2, 8]",4.71,0.4059000000000026
4,"[4, 4, 4]",4.71,0.4059000000000026
4,"[4, 8]",4.71,0.4059000000000026
4,"[2, 4, 8]",3.9000000000000004,0.08999999999999986
4,"[2, 2, 4, 8]",3.0,0.0
4,"[4, 4, 8]",2.0,0.0
4,"[2, 4, 4, 8]",2.0,0.0
4,"[2, 8, 8]",1.0,0.0
4,"[2, 2, 8, 8]",1.0,0.0
4,"[4, 4, 4, 8]",2.0,0.0
4,"[4, 8, 8]",1.0,0.0
4,"[2, 4, 8, 8]",1.0,0.0
4,"[4, 4, 8, 8]",1.0,0.0
5,[],17.44628099173554,1.3173963527080446
5,"[2, 2]",16.628099173553714,1.1821596885459371
5,"[2, 4]",15.719008264462904,1.1145413564626665
5,"[2, 2, 4]",14.809917355371002,1.0469230244017922
5,"[4, 4]",14.809917355371002,1.0469230244017922
5,"[2, 4, 4]",13.900826446290003,0.9793046921344342
5,"[2, 8]",13.900826446290003,0.9793046921344342
5,"[2, 2, 8]",12.991735537100002,0.9116863617529418
5,"[4, 4, 4]",12.991735537100002,0.9116863617529418
5,"[4, 8]",12.991735537100002,0.9116863617529418
5,"[2, 4, 8]",12.082644629,0.8440680142974486
5,"[2, 2, 4, 8]",11.17355371,0.7764498197452383
5,"[4, 4, 8]",11.17355371,0.7764498197452383
5,"[2, 4, 4, 8]",10.2644629,0.7088302745235779
5,"[2, 8, 8]",10.2644629,0.7088302745235779
5,"[2, 2, 8, 8]",9.355371,0.6412224523589742
5,"[2, 2, 16]",9.355371,0.6412224523589742
5,"[4, 4, 4, 8]",9.355371,0.6412224523589742
5,"[4, 8, 8]",9.355371,0.6412224523589742
5,"[2, 4, 8, 8]",8.44629,0.573515235900004
5,"[2, 4, 16]",8.44629,0.573515235900004
5,"[2, 2, 4, 16]",7.5371,0.5066235899999896
5,"[4, 4, 8, 8]",7.5371,0.5066235899999896
5,"[4, 4, 16]",7.5371,0.5066235899999896
5,"[2, 4, 4, 16]",6.629,0.43335900000000294
5,"[2, 8, 16]",6.629,0.43335900000000294
5,"[2, 2, 8, 16]",5.709999999999999,0.4059000000000097
5,"[4, 4, 4, 16]",5.709999999999999,0.4059000000000097
5,"[4, 8, 16]",5.709999999999999,0.4059000000000097
5,"[2, 4, 8, 16]",4.8999999999999995,0.09000000000000341
5,"[2, 2, 4, 8, 16]",4.0,0.0
5,"[4, 4, 8, 16]",3.0,0.0
5,"[2, 4, 4, 8, 16]",3.0,0.0
5,"[2, 8, 8, 16]",2.0,0.0
5,"[2, 2, 8, 8, 16]",2.0,0.0
5,"[2, 2, 16, 16]",1.0,0.0
5,"[4, 4, 4, 8, 16]",3.0,0.0
5,"[4, 8, 8, 16]",2.0,0.0
5,"[2, 4, 8, 8, 16]",2.0,0.0
5,"[2, 4, 16, 16]",1.0,0.0
5,"[2, 2, 4, 16, 16]",1.0,0.0
5,"[4, 4, 8, 8, 16]",2.0,0.0
5,"[4, 4, 16, 16]",1.0,0.0
5,"[2, 4, 4, 16, 16]",1.0,0.0
5,"[2, 8, 16, 16]",1.0,0.0
5,"[4, 8, 16, 16]",1.0,0.0
6,[],32.9917355371901,2.3992896660054157
6,"[2, 2]",32.17355371900828,2.264053001843422
6,"[2, 4]",31.26446280991737,2.196434669762425
6,"[2, 2, 4]",30.35537190082646,2.128816337681428
6,"[4, 4]",30.35537190082646,2.128816337681428
6,"[2, 4, 4]",29.44628099173555,2.061198005600204
6,"[2, 8]",29.44628099173555,2.061198005600204
6,"[2, 2, 8]",28.53719008264464,1.993579673519207
6,"[4, 4, 4]",28.53719008264464,1.993579673519207
6,"[4, 8]",28.53719008264464,1.993579673519207
6,"[2, 4, 8]",27.62809917355373,1.9259613414379828
6,"[2, 2, 4, 8]",26.719008264462822,1.8583430093568722
6,"[4, 4, 8]",26.719008264462822,1.8583430093568722
6,"[2, 4, 4, 8]",25.809917355371912,1.790724677275648
6,"[2, 8, 8]",25.809917355371912,1.790724677275648
6,"[2, 2, 8, 8]",24.900826446281002,1.7231063451946511
6,"[2, 2, 16]",24.900826446281002,1.7231063451946511
6,"[4, 4, 4, 8]",24.900826446281002,1.7231063451946511
6,"[4, 8, 8]",24.900826446281002,1.7231063451946511
6,"[2, 4, 8, 8]",23.99173553719009,1.6554880131136542
6,"[2, 4, 16]",23.99173553719009,1.6554880131136542
6,"[2, 2, 4, 16]",23.08264462809918,1.58786968103243
6,"[4, 4, 8, 8]",23.08264462809918,1.58786968103243
6,"[4, 4, 16]",23.08264462809918,1.58786968103243
6,"[2, 4, 4, 16]",22.17355371900827,1.5202513489513763
6,"[2, 8, 16]",22.17355371900827,1.5202513489513763
6,"[2, 2, 8, 16]",21.26446280991736,1.4526330168703225
6,"[4, 4, 4, 16]",21.26446280991736,1.4526330168703225
6,"[4, 8, 16]",21.26446280991736,1.4526330168703225
6,"[2, 4, 8, 16]",20.355371900826455,1.3850146847889846
6,"[2, 2, 4, 8, 16]",19.446280991735545,1.3173963527079309
6,"[4, 4, 8, 16]",19.446280991735545,1.3173963527079309
6,"[2, 4, 4, 8, 16]",18.537190082644635,1.2497780206268203
6,"[2, 8, 8, 16]",18.537190082644635,1.2497780206268203
6,"[2, 2, 8, 8, 16]",17.628099173553714,1.182159688545994
6,"[2, 2, 16, 16]",17.628099173553714,1.182159688545994
6,"[4, 4, 4, 8, 16]",17.628099173553714,1.182159688545994
6,"[4, 8, 8, 16]",17.628099173553714,1.182159688545994
6,"[2, 4, 8, 8, 16]",16.719008264462904,1.1145413564627233
6,"[2, 4, 16, 16]",16.719008264462904,1.1145413564627233
6,"[2, 4, 32]",16.719008264462904,1.1145413564627233
6,"[2, 2, 4, 16, 16]",15.809917355371004,1.0469230244017922
6,"[2, 2, 4, 32]",15.809917355371004,1.0469230244017922
6,"[4, 4, 8, 8, 16]",15.809917355371004,1.0469230244017922
6,"[4, 4, 16, 16]",15.809917355371004,1.0469230244017922
6,"[4, 4, 32]",15.809917355371004,1.0469230244017922
6,"[2, 4, 4, 16, 16]",14.900826446290004,0.9793046921344626
6,"[2, 4, 4, 32]",14.900826446290004,0.9793046921344626
6,"[2, 8, 16, 16]",14.900826446290004,0.9793046921344626
6,"[2, 8, 32]",14.900826446290004,0.9793046921344626
6,"[2, 2, 8, 32]",13.991735537100004,0.9116863617529418
6,"[4, 4, 4, 32]",13.991735537100004,0.9116863617529418
6,"[4, 8, 16, 16]",13.991735537100004,0.9116863617529418
6,"[4, 8, 32]",13.991735537100004,0.9116863617529418
6,"[2, 4, 8, 32]",13.082644629000004,0.8440680142973633
6,"[2, 2, 4, 8, 32]",12.173553710000004,0.7764498197451815
6,"[4, 4, 8, 32]",12.173553710000004,0.7764498197451815
6,"[2, 4, 4, 8, 32]",11.264462900000003,0.7088302745235495
6,"[2, 8, 8, 32]",11.264462900000003,0.7088302745235495
6,"[2, 2, 8, 8, 32]",10.355371000000002,0.6412224523590027
6,"[2, 2, 16, 32]",10.355371000000002,0.6412224523590027
6,"[4, 4, 4, 8, 32]",10.355371000000002,0.6412224523590027
6,"[4, 8, 8, 32]",10.355371000000002,0.6412224523590027
6,"[2, 4, 8, 8, 32]",9.446290000000001,0.573515235900004
6,"[2, 4, 16, 32]",9.446290000000001,0.573515235900004
6,"[2, 2, 4, 16, 32]",8.5371,0.5066235900000038
6,"[4, 4, 8, 8, 32]",8.5371,0.5066235900000038
6,"[4, 4, 16, 32]",8.5371,0.5066235900000038
6,"[2, 4, 4, 16, 32]",7.6290000000000004,0.43335900000000294
6,"[2, 8, 16, 32]",7.6290000000000004,0.43335900000000294
6,"[2, 2, 8, 16, 32]",6.710000000000001,0.4058999999999884
6,"[4, 4, 4, 16, 32]",6.710000000000001,0.4058999999999884
6,"[4, 8, 16, 32]",6.710000000000001,0.4058999999999884
6,"[2, 4, 8, 16, 32]",5.9,0.0899999999999963
6,"[2, 2, 4, 8, 16, 32]",5.0,0.0
6,"[4, 4, 8, 16, 32]",4.0,0.0
6,"[2, 4, 4, 8, 16, 32]",4.0,0.0
6,"[2, 8, 8, 16, 32]",3.0,0.0
6,"[2, 2, 8, 8, 16, 32]",3.0,0.0
6,"[2, 2, 16, 16, 32]",2.0,0.0
6,"[4, 4, 4, 8, 16, 32]",4.0,0.0
6,"[4, 8, 8, 16, 32]",3.0,0.0
6,"[2, 4, 8, 8, 16, 32]",3.0,0.0
6,"[2, 4, 16, 16, 32]",2.0,0.0
6,"[2, 4, 32, 32]",1.0,0.0
6,"[2, 2, 4, 16, 16, 32]",2.0,0.0
6,"[2, 2, 4, 32, 32]",1.0,0.0
6,"[4, 4, 8, 8, 16, 32]",3.0,0.0
6,"[4, 4, 16, 16, 32]",2.0,0.0
6,"[4, 4, 32, 32]",1.0,0.0
6,"[2, 4, 4, 16, 16, 32]",2.0,0.0
