max_exponent,final_state,frequency
3,"[2, 8]",82324
3,"[2, 2, 8]",743757
3,"[4, 8]",9094
3,"[2, 4, 8]",156681
3,"[4, 4, 8]",8144
4,"[2, 2, 16]",73639
4,"[2, 4, 16]",686818
4,"[2, 2, 4, 16]",140637
4,"[4, 4, 16]",74988
4,"[2, 4, 4, 16]",15629
4,"[2, 8, 16]",7422
4,"[4, 8, 16]",867
5,"[2, 4, 32]",66391
5,"[2, 2, 4, 32]",617575
5,"[4, 4, 32]",7201
5,"[2, 4, 4, 32]",195309
5,"[2, 8, 32]",68160
5,"[2, 2, 8, 32]",20618
5,"[4, 4, 4, 32]",14121
5,"[4, 8, 32]",7546
5,"[2, 4, 8, 32]",2995
5,"[4, 4, 8, 32]",84
6,"[2, 2, 4, 64]",59879
6,"[2, 4, 4, 64]",562326
6,"[2, 8, 64]",6572
6,"[2, 2, 8, 64]",237639
6,"[4, 4, 4, 64]",61275
6,"[4, 8, 64]",746
6,"[2, 4, 8, 64]",64242
6,"[2, 2, 4, 8, 64]",2696
6,"[4, 4, 8, 64]",4234
6,"[2, 4, 4, 8, 64]",297
6,"[2, 8, 8, 64]",85
6,"[4, 8, 8, 64]",9
7,"[2, 4, 4, 128]",53780
7,"[2, 2, 8, 128]",511535
7,"[4, 4, 4, 128]",6142
7,"[2, 4, 8, 128]",326480
7,"[2, 2, 4, 8, 128]",58208
7,"[4, 4, 8, 128]",30106
7,"[2, 4, 4, 8, 128]",8939
7,"[2, 8, 8, 128]",3741
7,"[2, 2, 8, 8, 128]",272
7,"[2, 2, 16, 128]",72
7,"[4, 4, 4, 8, 128]",254
7,"[4, 8, 8, 128]",426
7,"[2, 4, 8, 8, 128]",26
7,"[2, 4, 16, 128]",17
7,"[4, 4, 16, 128]",2
8,"[2, 2, 8, 256]",48562
8,"[2, 4, 8, 256]",471024
8,"[2, 2, 4, 8, 256]",294097
8,"[4, 4, 8, 256]",51912
8,"[2, 4, 4, 8, 256]",85142
8,"[2, 8, 8, 256]",26822
8,"[2, 2, 8, 8, 256]",7988
8,"[2, 2, 16, 256]",3434
8,"[4, 4, 4, 8, 256]",5728
8,"[4, 8, 8, 256]",2934
8,"[2, 4, 8, 8, 256]",1120
8,"[2, 4, 16, 256]",1071
8,"[2, 2, 4, 16, 256]",54
8,"[4, 4, 8, 8, 256]",35
8,"[4, 4, 16, 256]",75
8,"[2, 4, 4, 16, 256]",2
9,"[2, 4, 8, 512]",43926
9,"[2, 2, 4, 8, 512]",424885
9,"[4, 4, 8, 512]",4821
9,"[2, 4, 4, 8, 512]",310851
9,"[2, 8, 8, 512]",46781
9,"[2, 2, 8, 8, 512]",76163
9,"[2, 2, 16, 512]",24436
9,"[4, 4, 4, 8, 512]",29303
9,"[4, 8, 8, 512]",5115
9,"[2, 4, 8, 8, 512]",13716
9,"[2, 4, 16, 512]",15708
9,"[2, 2, 4, 16, 512]",1952
9,"[4, 4, 8, 8, 512]",587
9,"[4, 4, 16, 512]",1390
9,"[2, 4, 4, 16, 512]",274
9,"[2, 8, 16, 512]",74
9,"[2, 2, 8, 16, 512]",5
9,"[4, 4, 4, 16, 512]",6
9,"[4, 8, 16, 512]",5
9,"[2, 4, 8, 16, 512]",2
10,"[2, 2, 4, 8, 1024]",39317
10,"[2, 4, 4, 8, 1024]",386078
10,"[2, 8, 8, 1024]",4260
10,"[2, 2, 8, 8, 1024]",280979
10,"[2, 2, 16, 1024]",42165
10,"[4, 4, 4, 8, 1024]",42288
10,"[4, 8, 8, 1024]",508
10,"[2, 4, 8, 8, 1024]",57446
10,"[2, 4, 16, 1024]",100084
10,"[2, 2, 4, 16, 1024]",26259
10,"[4, 4, 8, 8, 1024]",2927
10,"[4, 4, 16, 1024]",10330
10,"[2, 4, 4, 16, 1024]",4722
10,"[2, 8, 16, 1024]",1867
10,"[2, 2, 8, 16, 1024]",303
10,"[4, 4, 4, 16, 1024]",207
10,"[4, 8, 16, 1024]",200
10,"[2, 4, 8, 16, 1024]",59
10,"[2, 2, 4, 8, 16, 1024]",1
11,"[2, 4, 4, 8, 2048]",35189
11,"[2, 2, 8, 8, 2048]",347863
11,"[2, 2, 16, 2048]",3859
11,"[4, 4, 4, 8, 2048]",3954
11,"[2, 4, 8, 8, 2048]",76500
11,"[2, 4, 16, 2048]",291245
11,"[2, 2, 4, 16, 2048]",141411
11,"[4, 4, 8, 8, 2048]",4253
11,"[4, 4, 16, 2048]",32717
11,"[2, 4, 4, 16, 2048]",39742
11,"[2, 8, 16, 2048]",12132
11,"[2, 2, 8, 16, 2048]",5832
11,"[4, 4, 4, 16, 2048]",2608
11,"[4, 8, 16, 2048]",1306
11,"[2, 4, 8, 16, 2048]",1243
11,"[2, 2, 4, 8, 16, 2048]",54
11,"[4, 4, 8, 16, 2048]",83
11,"[2, 4, 4, 8, 16, 2048]",7
11,"[2, 8, 8, 16, 2048]",2
