max_exponent,state
3,[]
3,"[2, 2]"
3,"[2, 4]"
3,"[2, 2, 4]"
3,"[4, 4]"
3,"[2, 4, 4]"
3,"[2, 8]"
3,"[2, 2, 8]"
3,"[4, 4, 4]"
3,"[4, 8]"
3,"[2, 4, 8]"
3,"[4, 4, 8]"
4,[]
4,"[2, 2]"
4,"[2, 4]"
4,"[2, 2, 4]"
4,"[4, 4]"
4,"[2, 4, 4]"
4,"[2, 8]"
4,"[2, 2, 8]"
4,"[4, 4, 4]"
4,"[4, 8]"
4,"[2, 4, 8]"
4,"[2, 2, 4, 8]"
4,"[4, 4, 8]"
4,"[2, 4, 4, 8]"
4,"[2, 8, 8]"
4,"[2, 2, 8, 8]"
4,"[2, 2, 16]"
4,"[4, 4, 4, 8]"
4,"[4, 8, 8]"
4,"[2, 4, 8, 8]"
4,"[2, 4, 16]"
4,"[2, 2, 4, 16]"
4,"[4, 4, 8, 8]"
4,"[4, 4, 16]"
4,"[2, 4, 4, 16]"
4,"[2, 8, 16]"
4,"[4, 8, 16]"
5,[]
5,"[2, 2]"
5,"[2, 4]"
5,"[2, 2, 4]"
5,"[4, 4]"
5,"[2, 4, 4]"
5,"[2, 8]"
5,"[2, 2, 8]"
5,"[4, 4, 4]"
5,"[4, 8]"
5,"[2, 4, 8]"
5,"[2, 2, 4, 8]"
5,"[4, 4, 8]"
5,"[2, 4, 4, 8]"
5,"[2, 8, 8]"
5,"[2, 2, 8, 8]"
5,"[2, 2, 16]"
5,"[4, 4, 4, 8]"
5,"[4, 8, 8]"
5,"[2, 4, 8, 8]"
5,"[2, 4, 16]"
5,"[2, 2, 4, 16]"
5,"[4, 4, 8, 8]"
5,"[4, 4, 16]"
5,"[2, 4, 4, 16]"
5,"[2, 8, 16]"
5,"[2, 2, 8, 16]"
5,"[4, 4, 4, 16]"
5,"[4, 8, 16]"
5,"[2, 4, 8, 16]"
5,"[2, 2, 4, 8, 16]"
5,"[4, 4, 8, 16]"
5,"[2, 4, 4, 8, 16]"
5,"[2, 8, 8, 16]"
5,"[2, 2, 8, 8, 16]"
5,"[2, 2, 16, 16]"
5,"[4, 4, 4, 8, 16]"
5,"[4, 8, 8, 16]"
5,"[2, 4, 8, 8, 16]"
5,"[2, 4, 16, 16]"
5,"[2, 4, 32]"
5,"[2, 2, 4, 16, 16]"
5,"[2, 2, 4, 32]"
5,"[4, 4, 8, 8, 16]"
5,"[4, 4, 16, 16]"
5,"[4, 4, 32]"
5,"[2, 4, 4, 16, 16]"
5,"[2, 4, 4, 32]"
5,"[2, 8, 16, 16]"
5,"[2, 8, 32]"
5,"[2, 2, 8, 32]"
5,"[4, 4, 4, 32]"
5,"[4, 8, 16, 16]"
5,"[4, 8, 32]"
5,"[2, 4, 8, 32]"
5,"[4, 4, 8, 32]"
6,[]
6,"[2, 2]"
6,"[2, 4]"
6,"[2, 2, 4]"
6,"[4, 4]"
6,"[2, 4, 4]"
6,"[2, 8]"
6,"[2, 2, 8]"
6,"[4, 4, 4]"
6,"[4, 8]"
6,"[2, 4, 8]"
6,"[2, 2, 4, 8]"
6,"[4, 4, 8]"
6,"[2, 4, 4, 8]"
6,"[2, 8, 8]"
6,"[2, 2, 8, 8]"
6,"[2, 2, 16]"
6,"[4, 4, 4, 8]"
6,"[4, 8, 8]"
6,"[2, 4, 8, 8]"
6,"[2, 4, 16]"
6,"[2, 2, 4, 16]"
6,"[4, 4, 8, 8]"
6,"[4, 4, 16]"
6,"[2, 4, 4, 16]"
6,"[2, 8, 16]"
6,"[2, 2, 8, 16]"
6,"[4, 4, 4, 16]"
6,"[4, 8, 16]"
6,"[2, 4, 8, 16]"
6,"[2, 2, 4, 8, 16]"
6,"[4, 4, 8, 16]"
6,"[2, 4, 4, 8, 16]"
6,"[2, 8, 8, 16]"
6,"[2, 2, 8, 8, 16]"
6,"[2, 2, 16, 16]"
6,"[4, 4, 4, 8, 16]"
6,"[4, 8, 8, 16]"
6,"[2, 4, 8, 8, 16]"
6,"[2, 4, 16, 16]"
6,"[2, 4, 32]"
6,"[2, 2, 4, 16, 16]"
6,"[2, 2, 4, 32]"
6,"[4, 4, 8, 8, 16]"
6,"[4, 4, 16, 16]"
6,"[4, 4, 32]"
6,"[2, 4, 4, 16, 16]"
6,"[2, 4, 4, 32]"
6,"[2, 8, 16, 16]"
6,"[2, 8, 32]"
6,"[2, 2, 8, 32]"
6,"[4, 4, 4, 32]"
6,"[4, 8, 16, 16]"
6,"[4, 8, 32]"
6,"[2, 4, 8, 32]"
6,"[2, 2, 4, 8, 32]"
6,"[4, 4, 8, 32]"
6,"[2, 4, 4, 8, 32]"
6,"[2, 8, 8, 32]"
6,"[2, 2, 8, 8, 32]"
6,"[2, 2, 16, 32]"
6,"[4, 4, 4, 8, 32]"
6,"[4, 8, 8, 32]"
6,"[2, 4, 8, 8, 32]"
6,"[2, 4, 16, 32]"
6,"[2, 2, 4, 16, 32]"
6,"[4, 4, 8, 8, 32]"
6,"[4, 4, 16, 32]"
6,"[2, 4, 4, 16, 32]"
6,"[2, 8, 16, 32]"
6,"[2, 2, 8, 16, 32]"
6,"[4, 4, 4, 16, 32]"
6,"[4, 8, 16, 32]"
6,"[2, 4, 8, 16, 32]"
6,"[2, 2, 4, 8, 16, 32]"
6,"[4, 4, 8, 16, 32]"
6,"[2, 4, 4, 8, 16, 32]"
6,"[2, 8, 8, 16, 32]"
6,"[2, 2, 8, 8, 16, 32]"
6,"[2, 2, 16, 16, 32]"
6,"[4, 4, 4, 8, 16, 32]"
6,"[4, 8, 8, 16, 32]"
6,"[2, 4, 8, 8, 16, 32]"
6,"[2, 4, 16, 16, 32]"
6,"[2, 4, 32, 32]"
6,"[2, 2, 4, 16, 16, 32]"
6,"[2, 2, 4, 32, 32]"
6,"[2, 2, 4, 64]"
6,"[4, 4, 8, 8, 16, 32]"
6,"[4, 4, 16, 16, 32]"
6,"[4, 4, 32, 32]"
6,"[2, 4, 4, 16, 16, 32]"
6,"[2, 4, 4, 32, 32]"
6,"[2, 4, 4, 64]"
6,"[2, 8, 16, 16, 32]"
6,"[2, 8, 32, 32]"
6,"[2, 8, 64]"
6,"[2, 2, 8, 32, 32]"
6,"[2, 2, 8, 64]"
6,"[4, 4, 4, 32, 32]"
6,"[4, 4, 4, 64]"
6,"[4, 8, 16, 16, 32]"
6,"[4, 8, 32, 32]"
6,"[4, 8, 64]"
6,"[2, 4, 8, 32, 32]"
6,"[2, 4, 8, 64]"
