File,Moves,Tile1,Tile2,Tile3,Tile4,Tile5,Tile6,Tile7,Tile8,Tile9,Tile10,Tile11,Tile12,Tile13,Tile14,Tile15,Tile16,Tile Sum
IMG_0437.PNG,944,2,2,8,4,2,4,8,2048,,,,,,,,,2078
IMG_0473.PNG,937,4,2,8,2,4,2,16,2048,,,,,,,,,2086
IMG_0480.PNG,940,2,16,16,2048,2,2,4,2,,,,,,,,,2092
IMG_0481.PNG,973,4,32,4,2,8,2048,32,2,8,2,2,2,,,,,2146
IMG_0482.PNG,1008,4,32,4,2048,8,2,64,2,8,32,,,,,,,2204
IMG_0483.PNG,967,2,8,16,2048,2,2,2,32,,,,,,,,,2112
IMG_0484.PNG,962,8,8,2,2048,32,32,16,2,2,,,,,,,,2150
IMG_0485.PNG,935,4,2,8,4,4,4,4,2048,,,,,,,,,2078
IMG_0489.PNG,986,4,2,2,8,8,128,4,4,4,2048,,,,,,,2212
IMG_0492.PNG,949,2,16,8,2,4,8,2,2048,,,,,,,,,2090
IMG_0525.PNG,1027,2,2,4,2048,8,16,128,2,4,64,,,,,,,2278
IMG_0557.PNG,953,2,2,2,4,4,8,2048,,,,,,,,,,2070
IMG_0565.PNG,954,2,2,2,2048,4,8,8,2,4,2,2,,,,,,2084
IMG_0568.PNG,999,2,2,4,128,8,2,2048,2,,,,,,,,,2196
IMG_0573.PNG,970,2,2,8,16,4,8,2048,16,4,2,,,,,,,2110
IMG_0577.PNG,927,2,8,2,4,4,8,2048,,,,,,,,,,2076
IMG_0579.PNG,986,2,4,2,2048,2,8,16,2,2,64,8,,,,,,2158
IMG_0582.PNG,948,2,2,2,16,2048,4,8,4,16,,,,,,,,2102
IMG_0583.PNG,951,2,2,8,4,2,4,2048,,,,,,,,,,2070
IMG_0584.PNG,969,4,4,2,2048,4,32,32,2,4,,,,,,,,2132
IMG_0585.PNG,961,2,16,4,2048,2,4,2,32,,,,,,,,,2110
IMG_0586.PNG,953,2,2,2,2048,8,16,2,32,2,8,,,,,,,2122
IMG_0587.PNG,951,4,8,8,2,2,2,4,2048,,,,,,,,,2078
IMG_0588.PNG,965,2,2,4,8,2048,4,8,2,32,,,,,,,,2110
IMG_0589.PNG,1021,2,8,2,4,64,128,4,8,8,2048,,,,,,,2276
IMG_0590.PNG,956,4,4,2048,2,8,4,2,,,,,,,,,,2072
IMG_0591.PNG,954,4,2,32,8,8,2048,2,4,2,,,,,,,,2110
IMG_0592.PNG,932,2,16,4,4,4,2,2048,,,,,,,,,,2080
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
