board_size,max_exponent,resolve_strategy,max_resolve_depth,solve_strategy,discount,tolerance,states,mean_successor_states,median_successor_states,max_successor_states,bz2_size,mean_start_state_value
2,2,exact,0,policy_iteration,0.95,1.0e-06,5,1.6,1,3,137,19.524148602089852
2,2,exact,0,value_iteration,0.95,1.0e-06,5,1.6,1,3,137,19.524148602089852
2,2,exact,1,policy_iteration,0.95,1.0e-06,4,1.75,2.5,3,133,19.524148732981487
2,2,exact,1,value_iteration,0.95,1.0e-06,4,1.75,2.5,3,133,19.524148732981487
2,2,exact,2,policy_iteration,0.95,1.0e-06,4,3.75,6.0,8,162,19.524148732981487
2,2,exact,2,value_iteration,0.95,1.0e-06,4,3.75,6.0,8,162,19.524148732981487
2,2,unknown_zeros,0,policy_iteration,0.95,1.0e-06,5,1.6,1,3,137,19.524148602089852
2,2,unknown_zeros,0,value_iteration,0.95,1.0e-06,5,1.6,1,3,137,19.524148602089852
2,2,unknown_zeros,1,policy_iteration,0.95,1.0e-06,4,1.75,2.5,3,133,19.524148732981487
2,2,unknown_zeros,1,value_iteration,0.95,1.0e-06,4,1.75,2.5,3,133,19.524148732981487
2,3,exact,0,policy_iteration,0.95,1.0e-06,17,2.6470588235294117,2,6,280,17.172662066258866
2,3,exact,0,value_iteration,0.95,1.0e-06,17,2.6470588235294117,2,6,280,17.17265886985209
2,3,exact,1,policy_iteration,0.95,1.0e-06,13,2.6153846153846154,2,6,252,17.17266252754357
2,3,exact,1,value_iteration,0.95,1.0e-06,13,2.6153846153846154,2,6,252,17.17265943618869
2,3,exact,2,policy_iteration,0.95,1.0e-06,10,2.6,3.0,6,226,17.17266320625319
2,3,exact,2,value_iteration,0.95,1.0e-06,10,2.6,3.0,6,226,17.17265943618869
2,3,unknown_zeros,0,policy_iteration,0.95,1.0e-06,17,2.6470588235294117,2,6,280,17.172662066258866
2,3,unknown_zeros,0,value_iteration,0.95,1.0e-06,17,2.6470588235294117,2,6,280,17.17265886985209
2,3,unknown_zeros,1,policy_iteration,0.95,1.0e-06,13,2.6153846153846154,2,6,252,17.17266252754357
2,3,unknown_zeros,1,value_iteration,0.95,1.0e-06,13,2.6153846153846154,2,6,252,17.17265943618869
2,3,unknown_zeros,2,policy_iteration,0.95,1.0e-06,10,2.6,3.0,6,226,17.17266320625319
2,3,unknown_zeros,2,value_iteration,0.95,1.0e-06,10,2.6,3.0,6,226,17.17265943618869
2,4,exact,0,policy_iteration,0.95,1.0e-06,37,3.324324324324324,4,6,445,13.138860895967241
2,4,exact,0,value_iteration,0.95,1.0e-06,37,3.324324324324324,4,6,445,13.13885526233488
2,4,exact,1,policy_iteration,0.95,1.0e-06,33,3.484848484848485,4,6,426,13.138860946243005
2,4,exact,1,value_iteration,0.95,1.0e-06,33,3.484848484848485,4,6,426,13.138855342106107
2,4,exact,2,policy_iteration,0.95,1.0e-06,31,3.5161290322580645,4,6,408,13.138863068510753
2,4,exact,2,value_iteration,0.95,1.0e-06,31,3.5161290322580645,4,6,408,13.138856024610137
2,4,exact,3,policy_iteration,0.95,1.0e-06,30,3.533333333333333,4.0,6,404,13.138863213131536
2,4,exact,3,value_iteration,0.95,1.0e-06,30,3.533333333333333,4.0,6,404,13.13885555937072
2,4,unknown_zeros,0,policy_iteration,0.95,1.0e-06,37,3.324324324324324,4,6,445,13.138860895967241
2,4,unknown_zeros,0,value_iteration,0.95,1.0e-06,37,3.324324324324324,4,6,445,13.13885526233488
2,4,unknown_zeros,1,policy_iteration,0.95,1.0e-06,33,3.484848484848485,4,6,426,13.138860946243005
2,4,unknown_zeros,1,value_iteration,0.95,1.0e-06,33,3.484848484848485,4,6,426,13.138855342106107
2,4,unknown_zeros,2,policy_iteration,0.95,1.0e-06,31,3.5161290322580645,4,6,408,13.138863068510753
2,4,unknown_zeros,2,value_iteration,0.95,1.0e-06,31,3.5161290322580645,4,6,408,13.138856024610137
2,4,unknown_zeros,3,policy_iteration,0.95,1.0e-06,30,3.533333333333333,4.0,6,404,13.138863213131536
2,4,unknown_zeros,3,value_iteration,0.95,1.0e-06,30,3.533333333333333,4.0,6,404,13.13885555937072
2,5,exact,0,policy_iteration,0.95,1.0e-06,59,3.4915254237288136,4,6,624,0.80614417603336
2,5,exact,0,value_iteration,0.95,1.0e-06,59,3.4915254237288136,4,6,624,0.8061434273287352
2,5,exact,1,policy_iteration,0.95,1.0e-06,57,3.56140350877193,4,6,611,0.80614417603336
2,5,exact,1,value_iteration,0.95,1.0e-06,57,3.56140350877193,4,6,611,0.8061434273287352
2,5,exact,2,policy_iteration,0.95,1.0e-06,56,3.5714285714285716,4.0,6,605,0.8061441603783607
2,5,exact,2,value_iteration,0.95,1.0e-06,56,3.5714285714285716,4.0,6,605,0.8061434329880992
2,5,exact,3,policy_iteration,0.95,1.0e-06,56,3.5535714285714284,4.0,6,600,0.8061441602702392
2,5,exact,3,value_iteration,0.95,1.0e-06,56,3.5535714285714284,4.0,6,600,0.8061434326539095
2,5,unknown_zeros,0,policy_iteration,0.95,1.0e-06,59,3.4915254237288136,4,6,624,0.80614417603336
2,5,unknown_zeros,0,value_iteration,0.95,1.0e-06,59,3.4915254237288136,4,6,624,0.8061434273287352
2,5,unknown_zeros,1,policy_iteration,0.95,1.0e-06,57,3.56140350877193,4,6,611,0.80614417603336
2,5,unknown_zeros,1,value_iteration,0.95,1.0e-06,57,3.56140350877193,4,6,611,0.8061434273287352
2,5,unknown_zeros,2,policy_iteration,0.95,1.0e-06,56,3.5714285714285716,4.0,6,605,0.8061441603783607
2,5,unknown_zeros,2,value_iteration,0.95,1.0e-06,56,3.5714285714285716,4.0,6,605,0.8061434329880992
2,5,unknown_zeros,3,policy_iteration,0.95,1.0e-06,56,3.5535714285714284,4.0,6,600,0.8061441602702392
2,5,unknown_zeros,3,value_iteration,0.95,1.0e-06,56,3.5535714285714284,4.0,6,600,0.8061434326539095
2,6,exact,0,policy_iteration,0.95,1.0e-06,75,3.546666666666667,4,6,704,0.0
2,6,exact,0,value_iteration,0.95,1.0e-06,75,3.546666666666667,4,6,704,0.0
2,6,exact,1,policy_iteration,0.95,1.0e-06,74,3.5405405405405403,4.0,6,708,0.0
2,6,exact,1,value_iteration,0.95,1.0e-06,74,3.5405405405405403,4.0,6,708,0.0
2,6,exact,2,policy_iteration,0.95,1.0e-06,72,3.5833333333333335,4.0,6,687,0.0
2,6,exact,2,value_iteration,0.95,1.0e-06,72,3.5833333333333335,4.0,6,687,0.0
2,6,exact,3,policy_iteration,0.95,1.0e-06,71,3.591549295774648,4,6,689,0.0
2,6,exact,3,value_iteration,0.95,1.0e-06,71,3.591549295774648,4,6,689,0.0
2,6,unknown_zeros,0,policy_iteration,0.95,1.0e-06,75,3.546666666666667,4,6,704,0.0
2,6,unknown_zeros,0,value_iteration,0.95,1.0e-06,75,3.546666666666667,4,6,704,0.0
2,6,unknown_zeros,1,policy_iteration,0.95,1.0e-06,74,3.5405405405405403,4.0,6,708,0.0
2,6,unknown_zeros,1,value_iteration,0.95,1.0e-06,74,3.5405405405405403,4.0,6,708,0.0
2,6,unknown_zeros,2,policy_iteration,0.95,1.0e-06,72,3.5833333333333335,4.0,6,687,0.0
2,6,unknown_zeros,2,value_iteration,0.95,1.0e-06,72,3.5833333333333335,4.0,6,687,0.0
2,6,unknown_zeros,3,policy_iteration,0.95,1.0e-06,71,3.591549295774648,4,6,689,0.0
2,6,unknown_zeros,3,value_iteration,0.95,1.0e-06,71,3.591549295774648,4,6,689,0.0
2,7,exact,0,policy_iteration,0.95,1.0e-06,75,3.546666666666667,4,6,704,0.0
2,7,exact,0,value_iteration,0.95,1.0e-06,75,3.546666666666667,4,6,704,0.0
2,7,exact,1,policy_iteration,0.95,1.0e-06,74,3.5405405405405403,4.0,6,708,0.0
2,7,exact,1,value_iteration,0.95,1.0e-06,74,3.5405405405405403,4.0,6,708,0.0
2,7,exact,2,policy_iteration,0.95,1.0e-06,72,3.5833333333333335,4.0,6,687,0.0
2,7,exact,2,value_iteration,0.95,1.0e-06,72,3.5833333333333335,4.0,6,687,0.0
2,7,exact,3,policy_iteration,0.95,1.0e-06,71,3.591549295774648,4,6,689,0.0
2,7,exact,3,value_iteration,0.95,1.0e-06,71,3.591549295774648,4,6,689,0.0
2,7,unknown_zeros,0,policy_iteration,0.95,1.0e-06,75,3.546666666666667,4,6,704,0.0
