state,action,value
"[0, 0, 0, 0]",down,0.0
"[0, 0, 0, 5]",up,19.99999435362189
"[0, 0, 1, 1]",right,0.7663923990475894
"[0, 0, 1, 2]",up,0.801906054845281
"[0, 0, 1, 3]",up,0.892504811582781
"[0, 0, 2, 2]",right,0.8501340667650387
"[0, 0, 2, 3]",up,0.9162363854560692
"[0, 1, 1, 0]",up,0.7663923959939415
"[0, 1, 1, 1]",up,0.801906054845281
"[0, 1, 1, 2]",up,0.8299572746748337
"[0, 1, 1, 3]",up,0.9597422582977696
"[0, 1, 1, 4]",up,1.2246336311407666
"[0, 1, 2, 0]",up,0.8019060622297899
"[0, 1, 2, 1]",up,0.8501340618999137
"[0, 1, 2, 2]",right,0.8925048197491406
"[0, 1, 2, 3]",left,0.9002539752368448
"[0, 1, 2, 4]",left,1.1504919371858884
"[0, 1, 3, 0]",up,0.8925048205655195
"[0, 1, 3, 1]",up,0.9162363928034777
"[0, 1, 3, 2]",left,1.0055135148073688
"[0, 1, 3, 3]",right,1.1384618493724554
"[0, 1, 3, 4]",left,1.3928052495111565
"[0, 1, 4, 1]",up,1.1680683375107317
"[0, 1, 4, 2]",left,1.2828084358894483
"[0, 1, 4, 3]",left,1.3928052495111565
"[0, 2, 2, 0]",up,0.8501340773185193
"[0, 2, 2, 1]",up,0.8689062372124394
"[0, 2, 2, 2]",up,0.9162364009701233
"[0, 2, 2, 3]",up,1.0529286451045836
"[0, 2, 2, 4]",up,1.3456046271666118
"[0, 2, 3, 0]",up,0.9162364018772108
"[0, 2, 3, 1]",left,1.0055135148073688
"[0, 2, 3, 2]",up,1.0843513723574596
"[0, 2, 3, 3]",right,1.1680683480735015
"[0, 2, 3, 4]",left,1.629012013345729
"[0, 2, 4, 1]",left,1.2828084358894483
"[0, 2, 4, 2]",up,1.3456046283832475
"[0, 2, 4, 3]",left,1.629012013345729
"[1, 1, 1, 2]",right,0.8689062372124394
"[1, 1, 1, 3]",right,1.0055135148073688
"[1, 1, 1, 4]",right,1.2828084358894483
"[1, 1, 2, 2]",right,0.9162364028233484
"[1, 1, 2, 3]",left,1.0529286451045836
"[1, 1, 2, 4]",left,1.3456046271666118
"[1, 1, 3, 3]",right,1.1680683491283246
"[1, 1, 3, 4]",right,1.629012013345729
"[1, 1, 4, 4]",right,18.999994635940794
"[1, 2, 2, 2]",right,0.9002539915644191
"[1, 2, 3, 2]",down,1.107995172537377
"[1, 2, 3, 3]",right,1.150491956227453
"[1, 2, 4, 2]",down,1.3928052714105983
"[1, 2, 4, 4]",right,18.999994635940794
"[1, 3, 4, 3]",down,18.049994904143755
"[2, 2, 2, 3]",right,1.111503060282898
"[2, 2, 2, 4]",right,1.629012013345729
"[2, 2, 3, 3]",right,1.3456046295998831
"[2, 2, 3, 4]",left,17.147495133457287
"[2, 2, 4, 4]",right,18.999994635940794
"[2, 3, 4, 3]",down,18.049994904143755
