delta36,action
h,0
1,2
f,0
1,2
67,2
1,2
f,2
1,2
f,2
1,2
1,2
1,2
66,2
g,2
1,2
f,2
1,2
6o,2
1,2
f,2
2jx,0
1,0
1,0
e,0
1,0
1,2
1,2
1,0
64,2
1,2
1,2
e,2
1,2
1,2
1,2
1,1
1,1
b,1
1,0
1,2
1,0
1,0
1,0
1,0
d,1
1,0
1,0
1,0
1,0
1,0
a,0
2,1
1,0
1,0
1,0
1,0
54,2
1,2
1,2
1,2
d,2
1,2
1,0
1,0
1,0
2,0
a,2
1,2
1,2
1,2
1,1
1,1
1,1
c,0
1,1
1,0
1,0
1,0
1,0
1,0
c,1
1,0
1,0
1,0
1,0
16,2
40,2
1,2
1,1
d,2
1,0
1,0
1,0
c,2
1,2
1,2
1,0
1,0
2,0
c,0
1,0
1,0
2,1
1,2
1,1
e,0
59,2
e,2
1,0
1,0
d,2
1,0
1,2
1,0
1,0
d,0
1,2
1,2
1,0
3,0
1,0
9,2
68,0
1,2
f,2
1,0
f,2
1,0
5s,0
f,0
1,2
1,0
e,0
1,0
1,2
f,0
1,0
6m,2
1,0
1,2
1,0
d,2
1,0
6n,2
1,0
1,2
1,0
d,2
1,0
1jy,0
1,0
1,0
1,0
65,2
1,2
1,0
1,1
1,1
c,2
1,2
1,2
1,2
1,1
1,1
1,1
a,2
1,0
1,2
1,0
1,0
1,0
1,0
1,0
a,2
2,1
1,0
1,0
1,0
1,0
1,0
c,1
1,0
1,0
2,0
d,1
4r,2
1,2
1,2
1,2
d,2
1,2
1,0
1,0
1,0
1,0
1,0
a,2
1,2
1,2
1,2
1,1
1,1
1,1
b,2
1,0
1,1
1,0
1,0
1,0
1,0
1,0
c,1
1,0
1,0
1,0
1,0
d,1
4t,2
1,2
e,2
1,2
1,0
1,0
c,2
1,2
1,2
1,0
1,0
f,0
1,0
2,1
2,1
61,2
1,2
1,0
e,0
1,2
1,0
1,0
d,0
2,0
6m,0
g,2
1,0
g,2
67,0
g,2
1,0
1,2
f,2
6n,2
1,0
g,2
6o,2
1,2
1r4,2
1,1
1,1
1,1
1,2
1,1
9,2
2,2
1,0
1,0
1,0
1,0
d,0
1,0
1,0
d,2
1,1
4,0
d,1
58,2
1,2
1,2
1,0
1,0
1,0
1,0
a,2
1,2
1,2
1,2
1,2
1,2
t,2
5q,2
1,2
1,2
e,2
2r5,2
2,2
1,2
1,2
2,1
c,2
2,0
2,0
b,2
1,2
4,2
68,0
c,2
4,2
b,2
2ya,2
g,2
6o,2
ycc,0
1,0
e,0
1,0
1,1
e,0
1,2
1,2
1,2
1,2
65,2
1,2
f,0
1,2
1,2
1,2
d,2
1,2
1,0
1,0
1,1
1,0
e,1
1,0
1,0
1,0
1,0
c,1
1,0
2,0
1,0
56,2
1,2
f,0
1,0
1,0
2,1
c,2
1,2
1,2
1,2
1,2
c,2
1,2
1,0
1,0
1,1
1,2
1,0
d,1
1,0
1,2
1,1
57,2
1,2
f,0
1,1
f,2
1,2
2,2
d,2
1,2
2,2
1,2
1,2
e,2
66,0
g,2
3,2
1,2
2ca,0
2,1
c,3
1,2
1,2
1,2
1,1
1,1
1,1
d,0
1,1
1,1
1,1
1,2
1,1
a,0
2,0
1,1
1,1
1,1
1,1
56,2
g,2
1,3
1,3
1,3
1,3
a,2
1,2
1,2
1,0
1,1
1,0
1,1
1,0
b,1
1,1
