delta36,action
h,2
1,0
f,2
1,2
67,2
1,0
e,2
1,2
1,2
1,2
1,2
c,0
1,0
1,2
1,2
1,2
f,2
1,2
5p,1
1,2
f,2
1,0
1,2
d,2
1,2
1,2
1,2
1,1
f,2
1,2
2q5,2
1,0
f,2
1,2
1,2
1,2
d,2
1,2
1,2
1,2
f,2
1,2
5q,2
1,2
e,2
1,2
1,2
1,2
d,2
1,2
1,2
1,2
f,2
1,1
g,0
5a,2
1,1
f,2
1,2
1,2
d,2
1,2
1,2
1,1
d,2
2,2
1,2
g,0
67,2
g,1
1,0
g,0
6m,2
1,0
e,0
1,0
2bk,2
g,2
1,2
f,0
1,2
1,1
f,1
1,1
5r,2
f,2
1,2
1,2
e,2
1,2
1,2
f,2
1,2
g,0
5b,2
g,2
1,2
e,2
1,2
1,1
f,2
1,0
g,0
6o,0
g,0
6n,0
2k1,2
g,2
g,0
6o,2
g,0
14ng,0
1,0
1,0
1,0
1,0
c,2
1,0
1,0
1,0
1,0
f,0
1,0
5o,2
1,2
1,1
1,1
1,1
c,2
1,0
1,2
1,1
1,1
c,1
1,0
1,1
1,0
1,0
d,2
1,0
1,1
1,0
e,2
1,0
1,0
58,2
1,0
1,2
1,1
d,0
1,0
1,2
1,2
1,0
c,2
1,2
1,0
1,0
1,1
e,0
1,1
1,0
g,0
5q,2
f,0
1,2
1,2
g,0
1,0
g,0
6m,0
1,0
e,1
1,0
2bi,0
1,2
1,1
1,1
1,1
c,2
1,0
1,2
1,1
1,1
c,1
1,0
1,1
1,1
1,1
d,2
1,0
1,1
1,0
e,1
1,0
1,0
58,2
1,0
1,2
1,1
1,1
c,0
1,2
1,2
1,1
1,1
c,2
1,2
1,1
1,1
1,1
e,0
1,1
1,1
f,0
1,0
58,1
1,0
1,2
1,1
d,2
1,0
1,2
1,0
1,0
c,2
1,2
1,1
1,1
1,0
c,1
1,2
1,0
1,1
1,0
g,0
5a,0
g,0
2,0
d,0
1,1
2,2
f,1
1,0
d,0
3,0
5r,0
e,2
1,0
f,2
1,0
1,0
d,0
1,0
1,0
1,0
2bh,2
1,0
1,2
1,1
d,0
1,2
1,2
1,2
1,1
c,2
1,2
1,0
1,0
1,1
e,0
1,1
1,1
g,0
58,0
1,2
1,2
1,2
1,1
c,2
1,2
1,0
1,1
1,1
c,2
1,0
1,2
1,0
1,0
e,0
1,1
1,2
g,0
58,2
1,2
1,0
1,0
1,1
c,2
1,0
1,2
1,2
1,0
c,2
1,0
1,2
1,1
1,1
d,2
1,0
1,1
1,0
d,1
3,0
5a,0
g,2
f,2
1,1
h,1
1,1
c,1
1,0
1,2
2,0
65,2
g,2
1,0
1,1
d,0
1,0
1,0
1,0
2bi,2
1,0
e,2
1,0
1,2
e,2
1,0
1,2
2,1
g,0
g,0
58,2
1,0
1,2
e,2
1,0
1,2
2,1
c,1
1,2
1,2
2,2
g,0
g,0
58,2
1,0
1,2
e,0
1,0
1,2
2,2
c,2
1,2
1,0
2,0
c,0
4,0
5o,2
1,2
1,0
e,2
1,2
1,2
e,2
1,2
1,0
e,0
1,2
1,0
1,0
d,0
1,0
1,0
1,0
6o,0
e,0
1,0
2c0,2
g,0
66,2
1,2
1,2
e,2
1,2
1,0
1,0
d,0
1,2
1,2
1,2
65,2
1,2
1,0
1,2
d,2
1,0
1,2
1,2
d,2
1,2
1,0
1,0
e,0
5r,2
1,2
1,0
1,0
d,2
1,0
1,2
1,2
d,0
1,2
1,0
1,2
d,0
1,0
1,0
5r,1
1,0
1,0
d,1
1,0
1,0
1,0
d,0
1,0
1,0
e,0
1,0
114f,0
1,0
1,0
1,0
1,0
f,0
1,0
5o,0
1,2
1,1
1,1
1,1
c,2
1,2
1,2
1,1
1,1
c,2
1,2
1,2
1,2
1,2
e,2
1,1
1,0
g,0
58,0
1,2
1,0
1,1
1,1
c,0
1,0
1,0
1,2
1,2
c,2
1,2
1,0
1,2
1,1
e,0
1,1
1,0
g,0
6o,0
g,0
6n,0
e,0
2bj,0
1,2
1,1
1,1
1,1
c,2
1,2
1,2
1,1
1,1
c,2
1,2
1,2
1,1
1,1
e,1
1,1
1,1
g,0
58,2
1,2
1,2
1,1
1,1
c,2
1,2
1,2
1,1
1,1
c,2
1,0
1,2
1,1
1,1
e,0
1,1
1,0
f,0
1,0
58,1
1,2
1,2
1,1
1,1
c,2
1,1
1,0
1,2
1,2
c,2
1,2
1,1
1,2
1,2
e,2
1,1
1,2
g,0
5p,1
3,2
e,1
1,2
f,2
1,1
1,0
g,0
5r,2
f,1
1,2
e,2
1,2
1,0
d,0
1,0
1,0
1,0
2bh,2
1,2
1,0
1,1
1,1
c,2
1,0
1,2
1,2
1,1
c,0
1,0
1,0
1,0
1,1
e,0
1,1
1,0
g,0
58,2
1,0
1,2
1,2
1,1
c,2
1,2
1,2
1,1
1,1
c,2
1,2
1,2
1,2
1,2
e,2
1,1
1,2
g,0
58,0
1,2
1,0
1,0
d,0
1,0
1,0
1,2
1,2
c,0
1,2
1,0
1,2
